identifier,jp,en
DBG_CAPS_PRESENTATION_VSYNC,"　プレゼンテーション間隔（垂直同期）: ","  Use vsync for swaps: "
DBG_CAPS_DEVICE_START,"　-- デバイス能力 ------------------------------\r\n","  -- Driver Capabilities ------------------------------\r\n"
DBG_CAPS_NONLOCAL_VRAM_BLIT,"　System -> 非ローカルVRAMブリット : ","  System -> Non-local VRAM blitting: "
DBG_CAPS_HARDWARE_TL,"　ハードウェア T&L : ","  Hardware T&L: "
DBG_CAPS_TEXTURES_FROM_NONLOCAL_VRAM,"　非ローカルVRAMからテクスチャ取得 : ","  Use textures from non-local VRAM: "
DBG_CAPS_TEXTURES_FROM_MAIN_MEMORY,"　システムメモリからテクスチャ取得 : ","  Use textures from system memory: "
DBG_CAPS_TEXTURES_FROM_VRAM,"　VRAM からテクスチャ取得 : ","  Use textures from VRAM: "
DBG_CAPS_VERTEX_BUFFER_IN_RAM,"　頂点バッファにシステムメモリを使用 : ","  Use vertex buffer from system memory: "
DBG_CAPS_VERTEX_BUFFER_IN_VRAM,"　頂点バッファにビデオメモリを使用 : ","  Use vertex buffer from VRAM"
DBG_CAPS_PRIMITIVES_START,"　-- プリミティブ能力 ---------------------------\r\n","  -- Primitive Capabilities ---------------------------\r\n"
DBG_CAPS_ALPHA_BLENDING,"　半透明処理 : ","  Alpha blending operations: "
DBG_CAPS_POINT_CLIPPING,"　ポイントのクリッピング処理 : ","  Do transformed point clipping: "
DBG_CAPS_VERTEX_CLIPPING,"　プリミティブのクリッピング処理 : ","  Do primitive clipping: "
DBG_CAPS_CULL_CCW,"　法線クリップ（反時計周り） : ","  Cull counterclockwise winded primitives: "
DBG_CAPS_CULL_CW,"　法線クリップ（時計周り） : ","  Cull clockwise winded primitives: "
DBG_CAPS_CULL_NONE,"　法線クリップ無し : ","  Don't do winding-based culling of primitives: "
DBG_CAPS_DEPTH_TEST_TOGGLE,"　デプステストON/OFF切り替え : ","  Toggle depth test on and off: "
DBG_CAPS_RASTERIZER_START,"　-- ラスタ能力 --------------------------------\r\n","  -- Rasterizer Capabilities --------------------------------\r\n"
DBG_CAPS_ANISOTROPIC_FILTERING,"　異方性フィルタリング : ","  Anisotropic filtering: "
DBG_CAPS_ANTIALIASING,"　アンチエイリアシング : ","  Antialiasing: "
DBG_CAPS_DITHERING,"　ディザ処理 : ","  Dithering: "
DBG_CAPS_RANGE_BASED_FOG,"　範囲ベースのフォグ : ","  Range based-fog: "
DBG_CAPS_Z_BASED_FOG,"　Zベースのフォグ : ","  Z-based fog: "
DBG_CAPS_TABLE_BASED_FOG,"　テーブルフォグ : ","  Table-based fog: "
DBG_CAPS_VERTEX_BASED_FOG,"　頂点フォグ : ","  Vertex-based fog: "
DBG_CAPS_DEPTH_TEST,"　デプステスト : ","  Depth test: "
DBG_CAPS_SHADING_START,"　-- シェーディング能力 -----------------------\r\n","  -- Shading Capabilities ----------------------\r\n"
DBG_CAPS_GOURAUD_SHADING,"　グーローシェーディング : ","  Gouraud shading: "
DBG_CAPS_ALPHA_GOURAUD_SHADING,"　α成分のグーローシェーディング : ","  Gouraud shading with alpha components: "
DBG_CAPS_GOURAUD_SHADED_FOG,"　グーローシェーディングでフォグ : ","  Gouraud-shaded fog: "
DBG_CAPS_TEXTURE_START,"　-- テクスチャ能力 ---------------------------\r\n","  -- Texture Capabilities ---------------------------\r\n"
DBG_CAPS_LARGEST_TEXTURE,"　最大テクスチャサイズ : (%d, %d)\r\n","  Maximum texture size: (%d, %d)\r\n"
DBG_CAPS_ALPHA_IN_TEXTURE,"　α付きテクスチャ : ","  Textures with alpha components: "
DBG_CAPS_TEXTURE_TRANSFORM,"　テクスチャトランスフォーム : ","  Texture transform: "
DBG_CAPS_BILINEAR_FILTER_MAG,"　バイリニア補間（拡大） : ","  Bilinear filtering (Magnification): "
DBG_CAPS_BILINEAR_FILTER_MIN,"　バイリニア補間（縮小） : ","  Bilinear filtering (Minification) : "
DBG_CAPS_END,"--------------------------------------------\r\n","--------------------------------------------\r\n"
DBG_CAPABILITY_NOT_PRESENT,"不可\r\n","Unable\r\n"
DBG_CAPABILITY_PRESENT,"可\r\n","Able\r\n"
ERR_ALREADY_RUNNING,"二つは起動できません\r\n","Can't start a second game instance!\r\n"
ERR_NO_PAD_FOUND,"使えるパッドが存在しないようです、残念\r\n","Unfortunately, there doesn't seem to be a pad that can be used.\r\n"
ERR_MIDI_FAILED_TO_READ_FILE,"error : MIDI File が読み込めない %s \rv\r\n","error : MIDI File %s could not be read.\n"
ERR_MIDI_NOT_LOADED,"error : まだMIDIが読み込まれていないのに再生しようとしている\r\n","error : MIDI not loaded before being playback started.\n"
ERR_ARCFILE_CORRUPTED,"ファイル %s のオープン中にエラーが発生しました\r\n","Error opening file %s"
ERR_NOT_A_WAV_FILE ,"Wav ファイルじゃない? %s\r\n","%s isn't a wav file?"
ERR_NOT_A_WAV_FILE2,"Wav ファイルじゃない %s\r\n","%s isn't a wav file"
ERR_NO_WAVE_FILE,"wave データが無いので、midi にします\r\n","There is no wave data, so I'll make it midi!\r\n"
ERR_BGM_VERSION_MISMATCH,"BGM データのバージョンが違います\r\n","The BGM data version is wrong.\r\n"
ERR_NO_VERTEX_BUFFER,"頂点バッファの使用を抑制します\r\n","Suppressing the use of the vertex buffer.\r\n"
ERR_NO_FOG,"フォグの使用を抑制します\r\n","Suppressing the use of fog.\r\n"
ERR_USE_16BIT_TEXTURES,"16Bit のテクスチャの使用を強制します\r\n","Enforces the use of 16Bit textures.\r\n"
ERR_FORCE_BACKBUFFER_CLEAR,"バックバッファの消去を強制します\r\n","Force clearing of the back buffer.\r\n"
ERR_DONT_RENDER_ITEMS,"ゲーム周りのアイテムの描画を抑制します\r\n","Suppress the rendering of items around the game.\r\n"
ERR_NO_GOURAUD_SHADING,"グーローシェーディングを抑制します\r\n","Suppress gouraud shading.\r\n"
ERR_NO_DEPTH_TESTING,"デプステストを抑制します\r\n","Suppress depth testing.\r\n"
ERR_NO_TEXTURE_COLOR_COMPOSITING,"テクスチャの色合成を抑制します\r\n","Suppress texture color compositing.\r\n"
ERR_LAUNCH_WINDOWED,"ウィンドウモードで起動します\r\n","Launch in windowed mode.\r\n"
ERR_FORCE_REFERENCE_RASTERIZER,"リファレンスラスタライザを強制します\r\n","Force reference rasterizer.\r\n"
ERR_DO_NOT_USE_DIRECTINPUT,"パッド、キーボードの入力に DirectInput を使用しません\r\n","Do not use DirectInput for pad and keyboard input.\r\n"
ERR_REDRAW_HUD_EVERY_FRAME,"画面周りを毎回描画します\r\n","Draw screen surroundings every time.\r\n"
ERR_PRELOAD_BGM,"ＢＧＭをメモリに読み込みます\r\n","Preload BGM in memory.\r\n"
ERR_NO_VSYNC,"垂直同期を取りません\r\n","No Vertical Sync.\r\n"
ERR_DONT_DETECT_TEXT_BG,"文字描画の環境を自動検出しません\r\n","Do not detect text drawing brackground.\r\n"
ERR_CONFIG_NOT_FOUND,"コンフィグデータが見つからないので初期化しました\r\n","Config not found, initializing with default values.\r\n"
ERR_CONFIG_ABNORMAL,"コンフィグデータが異常でしたので再初期化しました\r\n","Config abnormal, reinitializing with default values.\r\n"
ERR_FILE_CANNOT_BE_EXPORTED,"ファイルが書き出せません %s\r\n","File cannot be exported %s.\r\n"
ERR_FOLDER_HAS_WRITE_PROTECT_OR_DISK_FULL,"フォルダが書込み禁止属性になっているか、ディスクがいっぱいいっぱいになってませんか？\r\n","Folder has write protect attribute or disk full?\r\n"
ERR_SOUNDPLAYER_FAILED_TO_CREATE_BGM_SOUND_BUFFER,"error : ストリーミング用サウンドバッファを作成出来ませんでした\r\n","error: Could not create sound buffer for music\r\n"
ERR_SOUNDPLAYER_FAILED_TO_INITIALIZE_OBJECT,"DirectSound オブジェクトの初期化が失敗したよ\r\n","DirectSound: Failed to initialize object\r\n"
ERR_SOUNDPLAYER_FAILED_TO_LOAD_SOUND_FILE,"error : Sound ファイルが読み込めない データを確認 %s\r\n","error: Could not load sound file %s\r\n"
DBG_SOUNDPLAYER_INIT_SUCCESS,"DirectSound は正常に初期化されました\r\n","DirectSound initialized successfully\r\n"
DBG_SOUNDPLAYER_BGM_THREAD_TERMINATED,"atention : ストリーミング用スレッドは終了しました。\r\n","attention : The streaming BGM task thread has terminated.\r\n"
ERR_ANMMANAGER_NO_TEXTURE_STORAGE,"テクスチャ格納先が足りません\r\n","No more texture storage left\r\n"
ERR_ANMMANAGER_ANIMATION_CORRUPTED,"アニメが読み込めません。データが失われてるか壊れています\r\n","Unable to load animation %s. Data is missing or corrupted\r\n"
ERR_ANMMANAGER_ANIMATION_WRONG_VERSION,"アニメのバージョンが違います\r\n","Animation versions do not match\r\n"
ERR_ANMMANAGER_EXTERN_TEXTURE_CORRUPTED,"テクスチャ %s が作成できません。データが失われてるか壊れています\r\n","Unable to create texture %s. Data is missing or corrupted\r\n"
ERR_ANMMANAGER_TEXTURE_CORRUPTED,"テクスチャが読み込めません。データが失われてるか壊れています\r\n","The texture cannot be loaded. The data is either missing or corrupted.\r\n"
ERR_CANNOT_BE_LOADED,"%sが読み込めないです。\r\n","%s cannot be read.\r\n"
ERR_DAT_NOT_FOUND,"error : データファイルが存在しません\r\n","error: The data file does not exist.\r\n"
ERR_DAT_WRONG_VERSION,"error : データのバージョンが違います\r\n","error: data versions do not match\r\n"
ERR_FAILED_TO_INIT_ASCII,"error : 文字の初期化に失敗しました\r\n","error: Failed to initialize text\r\n"
ERR_FAILED_TO_INIT_BGM,"error : BGM の初期化に失敗しました\r\n","error: Failed to initialize BGM\r\n"
SONG_NAME_NOT_UNLOCKED,"？？？？？？？？","???????"
WARN_BGM_NOT_UNLOCKED0,"＊＊＊注意＊＊＊","***Warning***"
WARN_BGM_NOT_UNLOCKED1,"　この曲はまだ、ゲーム中で流れておりません","This track has not yet been featured in the game."
WARN_BGM_NOT_UNLOCKED2,"　自分でプレイする前に聴きたくない、コメントを見たくない、","If you don’t want to hear this or see the comments before playing the game yourself, "
WARN_BGM_NOT_UNLOCKED3,"　という方は一刻も早くここから立ち去る事をお奨めします。","I strongly recommend you leave this page immediately."
WARN_BGM_NOT_UNLOCKED4,"　"," "
WARN_BGM_NOT_UNLOCKED5,"　（なお、ここで決定ボタンを押せば、他の曲と同様、","Please note that if you press the “Confirm” button here,"
WARN_BGM_NOT_UNLOCKED6,"　　曲の再生とコメント表示が行われますので、注意）","the song will play and the comments will be displayed, just as with other songs.)".
TITLE_STARTMENU_HELPTEXT0,"ゲームを開始します",""
TITLE_STARTMENU_HELPTEXT1,"エキストラステージを開始します",""
TITLE_STARTMENU_HELPTEXT2,"敵にスペルカード戦をお願いします",""
TITLE_STARTMENU_HELPTEXT3,"ステージを選択し、練習を開始します",""
TITLE_STARTMENU_HELPTEXT4,"リプレイを鑑賞できます",""
TITLE_STARTMENU_HELPTEXT5,"過去のスコアやスペルカードの取得歴を見られます",""
TITLE_STARTMENU_HELPTEXT6,"音楽を聴けます",""
TITLE_STARTMENU_HELPTEXT7,"各種設定できます",""
TITLE_STARTMENU_HELPTEXT8,"いろいろと終了します",""
TITLE_OPTIONS_HELPTEXT0,"プレイヤーの初期数を変更します。（初期設定　３）",""
TITLE_OPTIONS_HELPTEXT1,"画面の色数を変更します。３２ＢＩＴだと最も綺麗に表示されます。",""
TITLE_OPTIONS_HELPTEXT2,"ＢＧＭの再生方法を変更します。（初期設定　ＷＡＶ）",""
TITLE_OPTIONS_HELPTEXT3,"ＢＧＭの音量を調整します",""
TITLE_OPTIONS_HELPTEXT4,"効果音の音量を調整します",""
TITLE_OPTIONS_HELPTEXT5,"ウィンドウかフルスクリーンか選択します",""
TITLE_OPTIONS_HELPTEXT6,"弾が多い場面でわざと処理落ちさせます(スコア、リプレイ記録不可)",""
TITLE_OPTIONS_HELPTEXT7,"全て初期設定にします",""
TITLE_OPTIONS_HELPTEXT8,"パッド操作のボタン配置を変更します",""
TITLE_OPTIONS_HELPTEXT9,"おいそれと終了します",""
TITLE_KEYCONFIG_HELPTEXT0,"ショット、決定ボタンを設定します",""
TITLE_KEYCONFIG_HELPTEXT1,"ボム、キャンセルボタンを設定します",""
TITLE_KEYCONFIG_HELPTEXT2,"低速移動ボタンを設定します",""
TITLE_KEYCONFIG_HELPTEXT3,"メッセージスキップボタンを設定します",""
TITLE_KEYCONFIG_HELPTEXT4,"ポーズボタンを設定します",""
TITLE_KEYCONFIG_HELPTEXT5,"上移動ボタンを設定します",""
TITLE_KEYCONFIG_HELPTEXT6,"下移動ボタンを設定します",""
TITLE_KEYCONFIG_HELPTEXT7,"左移動ボタンを設定します",""
TITLE_KEYCONFIG_HELPTEXT8,"右移動ボタンを設定します",""
TITLE_KEYCONFIG_HELPTEXT9,"ショット押しっぱなしで低速移動になるようにします",""
TITLE_KEYCONFIG_HELPTEXT10,"初期設定に戻します",""
TITLE_KEYCONFIG_HELPTEXT11,"おおよそ終了します",""
TITLE_SPELL_STAGE_INFO,"ステージ    取得/挑戦可能/総数（()内は全キャラ合計）",""
TITLE_SPELL_CAPTURE_PERCENTAGE,"取得率　（キャラ別／総合）",""
TITLE_FULLWIDTH_DIGIT_0,"０","0"
TITLE_FULLWIDTH_DIGIT_1,"１","1"
TITLE_FULLWIDTH_DIGIT_2,"２","2"
TITLE_FULLWIDTH_DIGIT_3,"３","3"
TITLE_FULLWIDTH_DIGIT_4,"４","4"
TITLE_FULLWIDTH_DIGIT_5,"５","5"
TITLE_FULLWIDTH_DIGIT_6,"６","6"
TITLE_FULLWIDTH_DIGIT_7,"７","7"
TITLE_FULLWIDTH_DIGIT_8,"８","8"
TITLE_FULLWIDTH_DIGIT_9,"９","9"
TITLE_SPELLCARD_NOT_UNLOCKED,"？？？？？？？？","???????"
TITLE_SPELLCARD_AVAILABLE,"挑戦者歓迎中！",""
TITLE_SPELL_CARD_INFO,"取得数/挑戦数（()内は本編での集計）",""
